"Date","Monthly average of UK resident banks' sterling weighted average interest rate, loans secured on dwellings, new advances to Individuals and individual trusts (in percent) not seasonally adjusted              [a]             CFMZ6JM","Monthly average of UK resident banks' sterling weighted average interest rate - loans secured on dwellings, new advances on floating rate to Individuals and individual trusts (in percent) not seasonally adjusted              [a]             CFMZ6JO","Monthly average of UK resident banks' sterling weighted average interest rate - loans secured on dwellings, new advances, fixed rate, <=2yr to Individuals and individual trusts (in percent) not seasonally adjusted              [a]             CFMZ6JX","Monthly average of UK resident banks' sterling weighted average interest rate - loans secured on dwellings, new advances, fixed rate, 5yrs to Individuals and individual trusts (in percent) not seasonally adjusted              [a]             CFMZ6K3"
"31 Oct 25","4.17","4.6","4.15","4.13"
"30 Sep 25","4.19","4.59","4.17","4.14"
"31 Aug 25","4.26","4.78","4.24","4.18"
"31 Jul 25","4.28","4.8","4.26","4.19"
"30 Jun 25","4.34","4.8","4.33","4.25"
"31 May 25","4.47","4.97","4.51","4.32"
"30 Apr 25","4.49","5.02","4.54","4.33"
"31 Mar 25","4.5","5.07","4.6","4.33"
"28 Feb 25","4.53","5.35","4.65","4.28"
"31 Jan 25","4.51","5.38","4.62","4.23"
"31 Dec 24","4.47","5.44","4.59","4.21"
"30 Nov 24","4.5","5.58","4.61","4.2"
"31 Oct 24","4.61","5.66","4.73","4.28"
"30 Sep 24","4.76","5.66","4.9","4.39"
"31 Aug 24","4.84","5.79","4.98","4.46"
"31 Jul 24","4.81","5.89","4.98","4.44"
"30 Jun 24","4.82","5.93","4.97","4.45"
"31 May 24","4.79","5.95","4.91","4.39"
"30 Apr 24","4.74","5.93","4.86","4.35"
"31 Mar 24","4.73","5.9","4.8","4.33"
"29 Feb 24","4.9","5.94","4.96","4.48"
"31 Jan 24","5.19","5.76","5.24","4.88"
"31 Dec 23","5.28","5.7","5.41","4.88"
"30 Nov 23","5.34","5.71","5.51","5.03"
"31 Oct 23","5.25","5.82","5.51","4.81"
"30 Sep 23","5.01","5.79","5.15","4.64"
"31 Aug 23","4.82","5.7","5.01","4.46"
"31 Jul 23","4.66","5.44","4.82","4.31"
"30 Jun 23","4.63","5.32","4.74","4.3"
"31 May 23","4.56","5.08","4.73","4.25"
"30 Apr 23","4.46","4.68","4.71","4.17"
"31 Mar 23","4.41","4.78","4.7","4.13"
"28 Feb 23","4.24","4.38","4.68","4.06"
"31 Jan 23","3.88","4.26","4.09","3.72"
"31 Dec 22","3.67","4.14","3.84","3.57"
"30 Nov 22","3.35","3.67","3.47","3.33"
"31 Oct 22","3.09","3.34","3.2","3.05"
"30 Sep 22","2.84","2.99","2.92","2.8"
"31 Aug 22","2.55","2.68","2.59","2.53"
"31 Jul 22","2.33","2.49","2.33","2.31"
"30 Jun 22","2.15","2.36","2.13","2.13"
"31 May 22","1.95","2.09","1.93","1.94"
"30 Apr 22","1.82","1.97","1.78","1.81"
"31 Mar 22","1.73","1.78","1.71","1.71"
"28 Feb 22","1.59","1.61","1.56","1.59"
"31 Jan 22","1.58","1.53","1.64","1.53"
"31 Dec 21","1.58","1.53","1.64","1.53"
"30 Nov 21","1.5","1.61","1.51","1.48"
"31 Oct 21","1.59","1.77","1.68","1.51"
"30 Sep 21","1.78","1.87","1.88","1.68"
"31 Aug 21","1.82","1.92","1.91","1.72"
"31 Jul 21","1.83","1.92","1.89","1.76"
"30 Jun 21","1.95","1.91","2.04","1.85"
"31 May 21","1.9","1.92","1.95","1.84"
"30 Apr 21","1.88","1.91","1.92","1.82"
"31 Mar 21","1.95","1.88","1.97","1.92"
"28 Feb 21","1.91","1.9","1.89","1.91"
"31 Jan 21","1.85","1.85","1.82","1.84"
"31 Dec 20","1.9","1.84","1.85","1.92"
"30 Nov 20","1.83","1.75","1.77","1.88"
"31 Oct 20","1.78","1.73","1.72","1.83"
"30 Sep 20","1.74","1.65","1.69","1.78"
"31 Aug 20","1.72","1.56","1.68","1.79"
"31 Jul 20","1.73","1.52","1.69","1.8"
"30 Jun 20","1.77","1.51","1.74","1.82"
"31 May 20","1.74","1.5","1.7","1.83"
"30 Apr 20","1.75","1.48","1.73","1.84"
"31 Mar 20","1.83","1.83","1.77","1.89"
"29 Feb 20","1.81","2","1.71","1.88"
"31 Jan 20","1.85","1.97","1.77","1.91"
"31 Dec 19","1.88","1.95","1.79","1.97"
"30 Nov 19","1.87","1.93","1.75","2.01"
"31 Oct 19","1.96","1.95","1.86","2.06"
"30 Sep 19","2","1.95","1.91","2.13"
"31 Aug 19","2.04","1.95","1.94","2.18"
"31 Jul 19","2.03","1.99","1.93","2.16"
"30 Jun 19","2.02","1.99","1.89","2.18"
"31 May 19","2.08","1.98","1.98","2.23"
"30 Apr 19","2.08","1.97","1.96","2.21"
"31 Mar 19","2.1","1.97","2","2.22"
"28 Feb 19","2.09","1.97","1.98","2.24"
"31 Jan 19","2.09","2.01","1.97","2.22"
"31 Dec 18","2.14","2.05","2.04","2.28"
"30 Nov 18","2.13","2.05","2.03","2.26"
"31 Oct 18","2.12","2.03","2.02","2.26"
"30 Sep 18","2.1","1.95","2.01","2.23"
"31 Aug 18","2.11","1.87","2.03","2.25"
"31 Jul 18","2.09","1.81","2.01","2.28"
"30 Jun 18","2.11","1.88","2","2.26"
"31 May 18","2.1","2.04","1.99","2.25"
"30 Apr 18","2.08","2.04","1.97","2.26"
"31 Mar 18","2.05","1.94","1.92","2.23"
"28 Feb 18","2.04","1.97","1.9","2.24"
"31 Jan 18","2.02","1.94","1.91","2.19"
"31 Dec 17","2.01","1.92","1.89","2.17"
"30 Nov 17","1.98","1.76","1.87","2.17"
"31 Oct 17","1.92","1.67","1.79","2.15"
"30 Sep 17","1.97","1.76","1.87","2.2"
"31 Aug 17","2","1.77","1.89","2.23"
"31 Jul 17","1.95","1.71","1.85","2.24"
"30 Jun 17","2.05","1.84","1.93","2.32"
"31 May 17","2.05","1.89","1.93","2.34"
"30 Apr 17","2.03","1.86","1.92","2.33"
"31 Mar 17","2.1","1.89","1.99","2.39"
"28 Feb 17","2.09","1.85","2","2.4"
"31 Jan 17","2.03","1.92","1.92","2.37"
"31 Dec 16","2.14","1.9","2.05","2.48"
"30 Nov 16","2.15","1.83","2.1","2.53"
"31 Oct 16","2.15","1.78","2.1","2.58"
"30 Sep 16","2.25","1.81","2.21","2.66"
"31 Aug 16","2.3","1.87","2.25","2.69"
"31 Jul 16","2.3","1.99","2.21","2.71"
"30 Jun 16","2.39","2.05","2.31","2.78"
"31 May 16","2.39","1.96","2.33","2.77"
"30 Apr 16","2.39","1.96","2.33","2.78"
"31 Mar 16","2.47","2.08","2.41","2.84"
"29 Feb 16","2.49","2.05","2.42","2.85"
"31 Jan 16","2.47","2.11","2.38","2.8"
