"ym","rate_code","rate_name","rate","rate_lead_6m"
"2016-01-31","CFMZ6JM","New mortgages (all)","2.47",NULL
"2016-02-29","CFMZ6JM","New mortgages (all)","2.49",NULL
"2016-03-31","CFMZ6JM","New mortgages (all)","2.47",NULL
"2016-04-30","CFMZ6JM","New mortgages (all)","2.39",NULL
"2016-05-31","CFMZ6JM","New mortgages (all)","2.39",NULL
"2016-06-30","CFMZ6JM","New mortgages (all)","2.39",NULL
"2016-07-31","CFMZ6JM","New mortgages (all)","2.3","2.47"
"2016-08-31","CFMZ6JM","New mortgages (all)","2.3","2.49"
"2016-09-30","CFMZ6JM","New mortgages (all)","2.25","2.47"
"2016-10-31","CFMZ6JM","New mortgages (all)","2.15","2.39"
"2016-11-30","CFMZ6JM","New mortgages (all)","2.15","2.39"
"2016-12-31","CFMZ6JM","New mortgages (all)","2.14","2.39"
"2017-01-31","CFMZ6JM","New mortgages (all)","2.03","2.3"
"2017-02-28","CFMZ6JM","New mortgages (all)","2.09","2.3"
"2017-03-31","CFMZ6JM","New mortgages (all)","2.1","2.25"
"2017-04-30","CFMZ6JM","New mortgages (all)","2.03","2.15"
"2017-05-31","CFMZ6JM","New mortgages (all)","2.05","2.15"
"2017-06-30","CFMZ6JM","New mortgages (all)","2.05","2.14"
"2017-07-31","CFMZ6JM","New mortgages (all)","1.95","2.03"
"2017-08-31","CFMZ6JM","New mortgages (all)","2","2.09"
"2017-09-30","CFMZ6JM","New mortgages (all)","1.97","2.1"
"2017-10-31","CFMZ6JM","New mortgages (all)","1.92","2.03"
"2017-11-30","CFMZ6JM","New mortgages (all)","1.98","2.05"
"2017-12-31","CFMZ6JM","New mortgages (all)","2.01","2.05"
"2018-01-31","CFMZ6JM","New mortgages (all)","2.02","1.95"
"2018-02-28","CFMZ6JM","New mortgages (all)","2.04","2"
"2018-03-31","CFMZ6JM","New mortgages (all)","2.05","1.97"
"2018-04-30","CFMZ6JM","New mortgages (all)","2.08","1.92"
"2018-05-31","CFMZ6JM","New mortgages (all)","2.1","1.98"
"2018-06-30","CFMZ6JM","New mortgages (all)","2.11","2.01"
"2018-07-31","CFMZ6JM","New mortgages (all)","2.09","2.02"
