"ym","year","month","period","period_order"
"2015-01-31",2015,1,NULL,NULL
"2015-02-28",2015,2,NULL,NULL
"2015-03-31",2015,3,NULL,NULL
"2015-04-30",2015,4,NULL,NULL
"2015-05-31",2015,5,NULL,NULL
"2015-06-30",2015,6,NULL,NULL
"2015-07-31",2015,7,NULL,NULL
"2015-08-31",2015,8,NULL,NULL
"2015-09-30",2015,9,NULL,NULL
"2015-10-31",2015,10,NULL,NULL
"2015-11-30",2015,11,NULL,NULL
"2015-12-31",2015,12,"Brexit uncertainty",1
"2016-01-31",2016,1,"Brexit uncertainty",1
"2016-02-29",2016,2,"Brexit uncertainty",1
"2016-03-31",2016,3,"Brexit uncertainty",1
"2016-04-30",2016,4,"Brexit uncertainty",1
"2016-05-31",2016,5,"Brexit uncertainty",1
"2016-06-30",2016,6,"Brexit uncertainty",1
"2016-07-31",2016,7,"Brexit uncertainty",1
"2016-08-31",2016,8,"Brexit uncertainty",1
"2016-09-30",2016,9,"Brexit uncertainty",1
"2016-10-31",2016,10,"Brexit uncertainty",1
"2016-11-30",2016,11,"Brexit uncertainty",1
"2016-12-31",2016,12,"Brexit uncertainty",1
"2017-01-31",2017,1,"Brexit uncertainty",1
"2017-02-28",2017,2,"Brexit uncertainty",1
"2017-03-31",2017,3,"Brexit uncertainty",1
"2017-04-30",2017,4,"Brexit uncertainty",1
"2017-05-31",2017,5,"Brexit uncertainty",1
"2017-06-30",2017,6,"Brexit uncertainty",1
"2017-07-31",2017,7,"Brexit uncertainty",1
"2017-08-31",2017,8,"Brexit uncertainty",1
"2017-09-30",2017,9,"Brexit uncertainty",1
"2017-10-31",2017,10,"Brexit uncertainty",1
"2017-11-30",2017,11,"Brexit uncertainty",1
"2017-12-31",2017,12,"Brexit uncertainty",1
"2018-01-31",2018,1,"Brexit uncertainty",1
"2018-02-28",2018,2,"Brexit uncertainty",1
"2018-03-31",2018,3,"Brexit uncertainty",1
"2018-04-30",2018,4,"Brexit uncertainty",1
"2018-05-31",2018,5,"Brexit uncertainty",1
"2018-06-30",2018,6,"Brexit uncertainty",1
"2018-07-31",2018,7,"Brexit uncertainty",1
"2018-08-31",2018,8,"Brexit uncertainty",1
"2018-09-30",2018,9,"Brexit uncertainty",1
"2018-10-31",2018,10,"Brexit uncertainty",1
"2018-11-30",2018,11,"Brexit uncertainty",1
"2018-12-31",2018,12,"Brexit uncertainty",1
"2019-01-31",2019,1,"Brexit uncertainty",1
"2019-02-28",2019,2,"Brexit uncertainty",1
"2019-03-31",2019,3,"Brexit uncertainty",1
"2019-04-30",2019,4,"Brexit uncertainty",1
"2019-05-31",2019,5,"Brexit uncertainty",1
"2019-06-30",2019,6,"Brexit uncertainty",1
"2019-07-31",2019,7,"Brexit uncertainty",1
"2019-08-31",2019,8,"Brexit uncertainty",1
"2019-09-30",2019,9,"Brexit uncertainty",1
"2019-10-31",2019,10,"Brexit uncertainty",1
"2019-11-30",2019,11,"Brexit uncertainty",1
"2019-12-31",2019,12,"Brexit uncertainty",1
"2020-01-31",2020,1,"Brexit uncertainty",1
"2020-02-29",2020,2,"Brexit uncertainty",1
"2020-03-31",2020,3,"Covid",2
"2020-04-30",2020,4,"Covid",2
"2020-05-31",2020,5,"Covid",2
"2020-06-30",2020,6,"Covid",2
"2020-07-31",2020,7,"Covid",2
"2020-08-31",2020,8,"Covid",2
"2020-09-30",2020,9,"Covid",2
"2020-10-31",2020,10,"Covid",2
"2020-11-30",2020,11,"Covid",2
"2020-12-31",2020,12,"Covid",2
"2021-01-31",2021,1,"Covid",2
"2021-02-28",2021,2,"Covid",2
"2021-03-31",2021,3,"Post-Covid",3
"2021-04-30",2021,4,"Post-Covid",3
"2021-05-31",2021,5,"Post-Covid",3
