"area_code","region_name","nuts1","rate_code","rate_name","best_lag_m","best_corr_val","n_overlap_best"
"E09000001","City of London","London (all boroughs)","CFMZ6JM","New mortgages (all)",18,"-0.496","89"
"E09000001","City of London","London (all boroughs)","CFMZ6JO","Floating rate",18,"-0.492","89"
"E09000001","City of London","London (all boroughs)","CFMZ6JX","Fixed ≤2y",18,"-0.495","89"
"E09000001","City of London","London (all boroughs)","CFMZ6K3","Fixed 5y",18,"-0.502","89"
"E09000002","Barking and Dagenham","London (all boroughs)","CFMZ6JM","New mortgages (all)",12,"-0.436","95"
"E09000002","Barking and Dagenham","London (all boroughs)","CFMZ6JO","Floating rate",12,"-0.437","95"
"E09000002","Barking and Dagenham","London (all boroughs)","CFMZ6JX","Fixed ≤2y",12,"-0.413","95"
"E09000002","Barking and Dagenham","London (all boroughs)","CFMZ6K3","Fixed 5y",12,"-0.447","95"
"E09000003","Barnet","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.398","101"
"E09000003","Barnet","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.388","101"
"E09000003","Barnet","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.378","101"
"E09000003","Barnet","London (all boroughs)","CFMZ6K3","Fixed 5y",6,"-0.411","101"
"E09000004","Bexley","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.418","101"
"E09000004","Bexley","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.425","101"
"E09000004","Bexley","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.407","101"
"E09000004","Bexley","London (all boroughs)","CFMZ6K3","Fixed 5y",12,"-0.449","95"
"E09000005","Brent","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.142","101"
"E09000005","Brent","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.137","101"
"E09000005","Brent","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.138","101"
"E09000005","Brent","London (all boroughs)","CFMZ6K3","Fixed 5y",12,"-0.147","95"
"E09000006","Bromley","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.466","101"
"E09000006","Bromley","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.452","101"
"E09000006","Bromley","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.451","101"
"E09000006","Bromley","London (all boroughs)","CFMZ6K3","Fixed 5y",12,"-0.493","95"
"E09000007","Camden","London (all boroughs)","CFMZ6JM","New mortgages (all)",3,"-0.290","104"
"E09000007","Camden","London (all boroughs)","CFMZ6JO","Floating rate",0,"-0.297","107"
"E09000007","Camden","London (all boroughs)","CFMZ6JX","Fixed ≤2y",0,"-0.283","107"
"E09000007","Camden","London (all boroughs)","CFMZ6K3","Fixed 5y",3,"-0.289","104"
"E09000008","Croydon","London (all boroughs)","CFMZ6JM","New mortgages (all)",12,"-0.453","95"
"E09000008","Croydon","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.483","101"
"E09000008","Croydon","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.452","101"
"E09000008","Croydon","London (all boroughs)","CFMZ6K3","Fixed 5y",12,"-0.453","95"
"E09000009","Ealing","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.281","101"
"E09000009","Ealing","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.253","101"
"E09000009","Ealing","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.264","101"
"E09000009","Ealing","London (all boroughs)","CFMZ6K3","Fixed 5y",6,"-0.315","101"
"E09000010","Enfield","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.383","101"
"E09000010","Enfield","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.405","101"
"E09000010","Enfield","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.375","101"
"E09000010","Enfield","London (all boroughs)","CFMZ6K3","Fixed 5y",12,"-0.387","95"
"E09000011","Greenwich","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.317","101"
"E09000011","Greenwich","London (all boroughs)","CFMZ6JO","Floating rate",0,"-0.310","107"
"E09000011","Greenwich","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.323","101"
"E09000011","Greenwich","London (all boroughs)","CFMZ6K3","Fixed 5y",6,"-0.305","101"
"E09000012","Hackney","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.213","101"
"E09000012","Hackney","London (all boroughs)","CFMZ6JO","Floating rate",3,"-0.204","104"
"E09000012","Hackney","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.219","101"
"E09000012","Hackney","London (all boroughs)","CFMZ6K3","Fixed 5y",6,"-0.205","101"
"E09000013","Hammersmith and Fulham","London (all boroughs)","CFMZ6JM","New mortgages (all)",18,"-0.590","89"
"E09000013","Hammersmith and Fulham","London (all boroughs)","CFMZ6JO","Floating rate",18,"-0.520","89"
"E09000013","Hammersmith and Fulham","London (all boroughs)","CFMZ6JX","Fixed ≤2y",18,"-0.554","89"
"E09000013","Hammersmith and Fulham","London (all boroughs)","CFMZ6K3","Fixed 5y",18,"-0.643","89"
"E09000014","Haringey","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.320","101"
"E09000014","Haringey","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.343","101"
"E09000014","Haringey","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.315","101"
"E09000014","Haringey","London (all boroughs)","CFMZ6K3","Fixed 5y",12,"-0.278","95"
"E09000015","Harrow","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.343","101"
"E09000015","Harrow","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.340","101"
"E09000015","Harrow","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.332","101"
"E09000015","Harrow","London (all boroughs)","CFMZ6K3","Fixed 5y",6,"-0.347","101"
"E09000016","Havering","London (all boroughs)","CFMZ6JM","New mortgages (all)",12,"-0.428","95"
"E09000016","Havering","London (all boroughs)","CFMZ6JO","Floating rate",12,"-0.420","95"
"E09000016","Havering","London (all boroughs)","CFMZ6JX","Fixed ≤2y",12,"-0.410","95"
"E09000016","Havering","London (all boroughs)","CFMZ6K3","Fixed 5y",12,"-0.442","95"
"E09000017","Hillingdon","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.339","101"
"E09000017","Hillingdon","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.342","101"
"E09000017","Hillingdon","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.332","101"
"E09000017","Hillingdon","London (all boroughs)","CFMZ6K3","Fixed 5y",12,"-0.347","95"
"E09000018","Hounslow","London (all boroughs)","CFMZ6JM","New mortgages (all)",12,"-0.372","95"
"E09000018","Hounslow","London (all boroughs)","CFMZ6JO","Floating rate",12,"-0.352","95"
"E09000018","Hounslow","London (all boroughs)","CFMZ6JX","Fixed ≤2y",12,"-0.346","95"
"E09000018","Hounslow","London (all boroughs)","CFMZ6K3","Fixed 5y",12,"-0.414","95"
"E09000019","Islington","London (all boroughs)","CFMZ6JM","New mortgages (all)",24,"-0.312","83"
"E09000019","Islington","London (all boroughs)","CFMZ6JO","Floating rate",24,"-0.311","83"
"E09000019","Islington","London (all boroughs)","CFMZ6JX","Fixed ≤2y",24,"-0.349","83"
"E09000019","Islington","London (all boroughs)","CFMZ6K3","Fixed 5y",24,"-0.297","83"
