"ym","area_code","region_name","nuts1","hpi_index","average_price","hpi_mom_pct","hpi_yoy_pct"
"2015-01-31","E09000001","City of London","London (all boroughs)","100","783666.5696",NULL,NULL
"2015-02-28","E09000001","City of London","London (all boroughs)","97.05014334","760549.5291","-2.949856660000000000000",NULL
"2015-03-31","E09000001","City of London","London (all boroughs)","97.89962593","767206.6402","0.875302766966526358000",NULL
"2015-04-30","E09000001","City of London","London (all boroughs)","93.04315551","729148.105","-4.960662897192747221000",NULL
"2015-05-31","E09000001","City of London","London (all boroughs)","97.33919387","762814.7215","4.61725350613058000",NULL
"2015-06-30","E09000001","City of London","London (all boroughs)","99.08666079","776509.0356","1.79523463316720000",NULL
"2015-07-31","E09000001","City of London","London (all boroughs)","99.416853","779096.6415","0.333235783068515291000",NULL
"2015-08-31","E09000001","City of London","London (all boroughs)","97.01103528","760243.0523","-2.419929466083582428000",NULL
"2015-09-30","E09000001","City of London","London (all boroughs)","97.93250451","767464.2986","0.949860216768526790000",NULL
"2015-10-31","E09000001","City of London","London (all boroughs)","99.70541144","781357.7431","1.81033553555139000",NULL
"2015-11-30","E09000001","City of London","London (all boroughs)","94.64835964","741727.3306","-5.071993312061297683000",NULL
"2015-12-31","E09000001","City of London","London (all boroughs)","91.01482766","713252.5637","-3.838980404753267206000",NULL
"2016-01-31","E09000001","City of London","London (all boroughs)","94.01813825","736788.4978","3.29980363333690000","-5.981861750000000000000"
"2016-02-29","E09000001","City of London","London (all boroughs)","97.70019819","765643.562","3.91632934722572000","0.669813384739303776000"
"2016-03-31","E09000001","City of London","London (all boroughs)","101.4148808","794754.2788","3.80212392484196000","3.59067242250085000"
"2016-04-30","E09000001","City of London","London (all boroughs)","102.7631184","805319.9631","1.32942778156872000","10.44672532516949000"
"2016-05-31","E09000001","City of London","London (all boroughs)","107.900446","845579.4697","4.99919395205897000","10.84994821726686000"
"2016-06-30","E09000001","City of London","London (all boroughs)","115.8611285","907964.6589","7.37780314643000000","16.92908770591340000"
"2016-07-31","E09000001","City of London","London (all boroughs)","116.3539602","911826.8147","0.42536414618126000","17.03645477492634000"
"2016-08-31","E09000001","City of London","London (all boroughs)","108.2436922","848269.375","-6.970341177953305280000","11.57874141594255000"
"2016-09-30","E09000001","City of London","London (all boroughs)","99.59944053","780527.2848","-7.985917233891251171000","1.70212742780390000"
"2016-10-31","E09000001","City of London","London (all boroughs)","101.1481822","792664.2518","1.55497025059444000","1.44703355531331000"
"2016-11-30","E09000001","City of London","London (all boroughs)","104.4657271","818662.7343","3.27988583466604000","10.37246445404957000"
"2016-12-31","E09000001","City of London","London (all boroughs)","103.5881838","811785.7228","-0.840029858941172296000","13.81462390608454000"
"2017-01-31","E09000001","City of London","London (all boroughs)","104.7","820305","1.07330407698489000","11.36149039837002000"
"2017-02-28","E09000001","City of London","London (all boroughs)","104.7","820632","0.000000000000000000000","7.16457278457850000"
"2017-03-31","E09000001","City of London","London (all boroughs)","109","853885","4.10697230181471000","7.47929607584768000"
"2017-04-30","E09000001","City of London","London (all boroughs)","115.6","906024","6.05504587155963000","12.49172057044154000"
"2017-05-31","E09000001","City of London","London (all boroughs)","119.9","939775","3.71972318339100000","11.12094939811463000"
"2017-06-30","E09000001","City of London","London (all boroughs)","118.8","930786","-0.917431192660550459000","2.53654658645932000"
"2017-07-31","E09000001","City of London","London (all boroughs)","109.1","854798","-8.164983164983164983000","-6.234390464691720910000"
"2017-08-31","E09000001","City of London","London (all boroughs)","108.1","847422","-0.916590284142988084000","-0.132748797717009139000"
"2017-09-30","E09000001","City of London","London (all boroughs)","106.8","836674","-1.202590194264569843000","7.22951798894005000"
